Table,Status,RowsInserted,Duration
ALLERGY_CASEBKP_20241017,SUCCESS,0,0:00:00.448527
CarePlan,SUCCESS,0,0:00:00.340340
CARETEAMMEMBER_new,SUCCESS,0,0:00:00.386904
CDS_REID,SUCCESS,0,0:00:00.221012
CEM_SEQUENCE,SUCCESS,0,0:00:00.339061
ChargeSets,SUCCESS,0,0:00:00.422881
CHRTRULE,SUCCESS,0,0:00:00.338601
contentlist_vaccine_refresh,SUCCESS,0,0:00:00.373413
Control,SUCCESS,0,0:00:00.331928
County,SUCCESS,0,0:00:00.331226
cus_ACS_AmountDrivers,SUCCESS,0,0:00:00.447829
cus_ACS_Called,SUCCESS,0,0:00:00.339750
cus_ACS_ChangeCollectionStatusTemp,SUCCESS,0,0:00:00.332801
cus_ACS_ColAgeDrivers,SUCCESS,0,0:00:00.223588
cus_ACS_ColGlobal,SUCCESS,0,0:00:00.340826
cus_ACS_ColGuar,SUCCESS,0,0:00:00.329907
cus_ACS_CollectionTemp,SUCCESS,0,0:00:00.339989
cus_ACS_ColProcessVisits,SUCCESS,0,0:00:00.220604
cus_ACS_ColProcessVisitsTemp,SUCCESS,0,0:00:00.332839
cus_ACS_ColStatus,SUCCESS,0,0:00:00.226467
cus_ACS_ColStatusAging,SUCCESS,0,0:00:00.226172
cus_ACS_DebugMessages_new,SUCCESS,0,0:00:00.478286
cus_ACS_Emailed,SUCCESS,0,0:00:00.223998
cus_ACS_GuarantorVisitStatements,SUCCESS,0,0:00:00.343560
cus_ACS_InsertLevel,SUCCESS,0,0:00:00.341141
cus_ACS_LettersToPrint,SUCCESS,0,0:00:00.237834
