table_name,primary_key
PatientProfileAgg,PatientProfileId
RcopiaSynchronizationPrescriptionStatus,RcopiaSynchronizationId
Cus_EZP_OracleFacilityLOCSettings,
ExportDocumentSettings,ExportDocumentSettingId
cus_AutoCheckIn_Appointments,ID
Cus_EZP_AutoFaxDoc,AutoFaxDocId
cus_FlwUp_AutoCreateRule_Companies,ID
L3PERSON,CID
cus_Scheduler_1_NextAppointmentHistory,AppointmentID
PatientProfileAttachment,PatientProfileAttachmentId
RcopiaMapPharmacy,CentricityIdentifier
DmBookDoctorFacilityMapping,
ServerSetupValidationDBType,DBTypeID
ServerSetupLog,ServerSetupLogID
Cus_EZP_OracleProviderSettings,
AUDIT_EVENT_DETAIL_LOG,
L3QUALIFIER,QUALID
PatientVisit,PatientVisitId
HCC,HCCId
SearchResults,
Cus_EZP_Other_Settings,
AUDIT_EVENT_LOG,
_PatientIDUpdate,
Cus_EZP_AutoFaxHistory,AutoFaxHistoryId
cus_FlwUp_AutoCreateRule_Facilities,ID
L3RESOURCE,RESOURCEID
PatientVisitAgg,PatientVisitId
HCCDiagnosis,"MasterDiagnosisId,HCCId"
DmBookScheduleMapping,
ServerSetupValidations,ValidationID
AUDIT_EVENT_TYPE_LOG,
Cus_EZP_AutoHIE,
L3RESULTS,RESULTID
CusSupportMikPatientVisitProcsMonitor,
PatientVisitAggClosing,PatientVisitId
HCCSegmentCoefficient,HCCSegmentCoefficientID
_refprov1,
AUDIT_PROFILE_LOG,
sysdiagrams,diagram_id
_PatientInsuranceUpdate,
Cus_EZP_AutoShareDoc,
cus_FlwUp_AutoCreateRule_History,ID
L3SCHEDULE,SCHEDULEID
PatientVisitAttachment,PatientVisitAttachmentId
ContentList_bak,
eCRActivityLog,eCRActivityLogID
DmBusidMapping,
Cus_EZP_PatAgreements_Answers,
cusqhcoarbalancesource,
L3SUBTASK,"PARENTSTEP,CHILDSTEP,CHILDORDER"
PatientVisitDiags,PatientVisitDiagsId
COVID_CONTENTLIST,
eCREventType,eCREventTypeId
cus_doctorFacility12_28_22,
Cus_EZP_AutoShareDocType_Settings,SettingsId
cus_FlwUp_AutoCreateRule_InsuranceCarriers,ID
L3TASKDTS,"RECURID,DTS"
PatientVisitFiling,PatientVisitId
ImmunizationMasterList,
LotManagement,Lotid
DmInsurancePlanMapping,
Cus_EZP_AutoShareFS,
L3TASKONCE,ONCEID
PatientVisitInsurance,PatientVisitInsuranceId
DmRIDMapping,
+refprov2,
Cus_EZP_PatApptReasonsLink,ReasonLinkId
cus_SST_EligibilityProcessorCrosswalk,EligibilityProcessorCrosswalkId
cus_FlwUp_AutoCreateRule_InsuranceGroups,ID
L3TASKRECUR,RECURID
PatientVisitPaperClaim,PatientVisitPaperClaimId
ImmunizationCPTCodes,
ImmunizationRecommendations,ImmunizationRecommendationsID
_refprov3,
Cus_TEMP,
ePRESCRIB,PTID
MedLists_BAK,
L3TASKRESOURCE,"TASKID,RESOURCEID"
PatientVisitProcs,PatientVisitProcsId
DmApptDefIdMapping,
Cus_EZP_Patient_Docs,DocId
ERXREQUEST,SyncResponseId
Cus_EZP_Birthday_Reminders,
MasterDiagnosisKeyword,masterdiagnosisid
cus_FlwUp_AutoCreateRule_Providers,ID
PatientProfile_BAK,
L3TASKSTATUS,"RECURID,DTS"
CusSupportPatientVisitProcsMonitor,
PatientVisitProcsAgg,PatientVisitProcsId
QuestionnaireGroup,QuestionnaireGroupId
cus_activeLockReport,
Cus_EZP_Patient_Videos,VideoId
contentlist_lot_backup,
FMYALTDETAIL,"PAYERID,NETWORK,ALTLISTID,SRCNDC,ALTNDC"
PatientRace_BAK,
L3TASKSTEP,STEPID
PatientVisitResource,PatientVisitResourceId
MS_COPYRIGHT,
QuestionnaireQuestionList,QuestionId
DmApptIdMapping,
cus_patientInsurance_bak_20220406,
Cus_EZP_Patient_VideosHistory,PatVideoId
FMYALTHEADER,"ALTLISTID,PAYERID,NETWORK"
cus_FlwUp_ClaimAdjustmentGroupCodes,GroupCode
L3TaskType,TASKTYPE
PaymentMethod,PaymentMethodId
DDIDUPDATE,
VFCEligibility,VFCEligibilityID
cus_casesInsurance_bak_20220406,
FMYSTATUSDETAIL,"FSLLISTID,NDC,PAYERID,NETWORK"
LIC_HISTORY,LICHISTORYID
PaymentMethodAttachment,PaymentMethodAttachmentId
FORMUPDATE,
FundingSourceMapping,FundingSourceMappingId
DmLocIdFacilityMapping,
Cus_EZP_PatientGroup,PGroupId
cus_Conv_TransferFrom,ID
CQM_Map,CQM_MapID
NDCTODDID,NDC
Cus_EZP_Call_DNCList,
cus_FlwUp_ClaimAdjustmentReasonCodes,ReasonCode
LOCREG,"GALACTICID,LOCID"
_2SipeApptTypeCrosswalk,
PaymentPlan,PaymentPlanId
GPIUPDATE,
Cus_EZP_PatientLst,Id
FMYCOPHEADER,"COPLISTID,PAYERID,NETWORK,COPLISTTYPE"
LoginProcWorkStation,
PaymentPlanAttachment,PaymentPlanAttachmentId
GPICLUPD,
DmRtidMapping,
Cus_EZP_PatientProfileAgg,PatientProfileId
cus_Conv_TransferTo,ID
CEM_TriggerStatus,CEM_TriggerStatusId
FMYCOPSUMDETAIL,"COPLISTID,COPAYID,PAYERID,NETWORK,FMYSTATUS,PRODUCTTYPE,PHARMTYPE"
Cus_EZP_Call_Queue,
cus_FlwUp_CompanyAssignments,ID
cus_BPP_PatientProfile,PatientId
LoginProcUsers,
PayorTable,PayorTableId
KDCUPDATE,
cusCqrDataFix_OrphanUsrRestored,
Cus_EZP_PatientProfileAttachment,PatientProfileAttachmentId
L3TEMPPID501,
FMYCOPDRUGDETAIL,"NDC,PAYERID,NETWORK,COPAYID,COPLISTID,PHARMTYPE,COPFIRSTERM,COPAMOUNT,COPPERCENTAGE,COPTIER"
Cus_EZP_Call_Remove_History,
cus_patientProfileBak_0630,
LOGLOCKS,LogLocksId
PlugIn,PlugInId
DmServProvIDMapping,
Cus_EZP_PatientRegistry,RegistryId
FMYCOVERAGEHEADER,"COVLISTID,PAYERID,NETWORK,COVLISTTYPE"
Cus_EZP_Call_Status_Details,CallId
cus_FlwUp_CreatedInsurance,ID
cus_guarantorBak_0630,
MD_OLDREG,"PIDLINK,WHENACCESSED"
cus_AOP_AppointmentProvider,
Procedures,ProceduresId
_BadGuarantorCarrie,
cusCqrDataFix_OrphanDocumentRestored,
Cus_EZP_PatientRegistryDetail,RegistryDetailId
FMYCOVERAGEDETAIL,"PAYERID,NETWORK,COVID,NDC,COVLISTID,COVLISTTYPE"
cusLanguageMap,
MD_RESULTS,WSID
ProceduresFeeSchedule,ProceduresFeeScheduleId
guarantor_bak,
DmOrphanPidsInEMR,
MedInteractionOverride,InteractionOverrideId
deletehistory,ID
Cus_EZP_PatientRegistryLog,LogId
PRESCRIB_4274BKP,
FMYCOVTXTMSGDETAIL,"PAYERID,NETWORK,COVID,NDC,COVLISTID,MSGSHORT"
Cus_EZP_CCD,
cus_FlwUp_FollowUp,ID
MEDDEPT,MEDDID
ReportNameLookup,ReportNameLookupID
ProceduresInventory,ProceduresInventoryId
cusCqrDataFix_PatientIDRequeued,
CARE_PLAN,CAREPLANID
ERXRefillRequest,ERXRefillRequestID
SL_AUTH_TOKEN_CACHE,
Cus_EZP_PatientRegistryMeasures,MeasureId
APPENDDOCUMENT_4274BKP,
FMYCOVQUANTITYDETAIL,"PAYERID,NETWORK,COVID,NDC,COVLISTID,MAXAMOUNT,MAXAMOUNTTYPE"
Cus_EZP_CDA,
MEDICATE,"PID,XID,MID"
ProceduresSpecialty,ProceduresSpecialtyId
GOAL,GOALID
Cus_EZP_PatientStatement,StatementId
Cus_EZP_FaxCoverPage,
FMYCOVGENDERDETAIL,"PAYERID,NETWORK,COVID,NDC,COVLISTID"
cus_FlwUp_FollowUpCategory,ID
Cus_EZP_AppointmentsAlloc,
MEDINFO,DDID
Recall,RecallId
cusCqrDataFix_OrphanDetail,
INTERVENTION,INTERVENTIONID
ERxRefillDenial,
Cus_EZP_PatInformationDocs,DocumentId
FMYCOVRSRCDRUGDETAIL,"PAYERID,NETWORK,COVID,NDC,COVLISTID,URLTYPE"
Cus_EZP_CheckInReminderLog,Id
MISCDEPT,"GID,CODE,DESCRIPTION"
cus_WebCal_SearchDefault,ID
RemitChecks,PaymentMethodId
cus_APP_Batch_SV,ID
DOCDATA_temp_suven,
sslManualStats_PendingRestore,
GOAL_HEALTHCONCERN,"GOALID,HEALTHCONCERNGROUPID"
Cus_EZP_PatInformationDocsHistory,HistoryId
MEDICATIONHISTORY,MEDHXID
Cus_EZP_ClinicalData,
ML_MASTERMERGE,
Report,ReportId
sslManualStats_CannotRestore,
cusCqrDataFix_OrphanDetailSdid,
GOAL_PROBLEM,"GOALID,PRID"
AUCSTATUS,AUCStatusId
Cus_EZP_PatRestSettings,Id
FMYSTATUSHEADER,"FSLLISTID,PAYERID,NETWORK"
cus_FlwUp_InsuranceGroupAssignments,ID
ML_MERGEAUDIT,"MERGETYPE,DATEMERGED"
ReportControl,ReportControlId
cus_APP_BatchExceptions_SV,ID
Medlists_PreUpgrade,
MUPatchData,
BKP_SPR4526ALLERGY,
AUCRECOMMENDATION,AUCRecommendationId
FMYCOVSTEPMEDDETAIL,"COVLISTID,PAYERID,NETWORK,COVID,NDC,STEPDRUG"
Cus_EZP_CollectionHistory,CollectionHistoryId
Cus_EZP_LoginExpReq,
ML_MERGEGLOBALS,
Guarantor_SPR35062_Orig,
ReportControlCriteria,ReportControlCriteriaId
cusQHCOBalFwd_remap,
sslManualStats_Dropped,
cus_BPP_PatientProfile_back,PatientId
AUCINDICATION,AUCIndicationId
InsSourceOfPayments,InsSourceOfPaymentsID
FMYCOVAGEDETAIL,"PAYERID,NETWORK,COVID,NDC,COVLISTID,AGEMIN,AGEMINTYPE"
Cus_EZP_CollectionLetters,LetterId
cus_FlwUp_InsuranceGroupAssignments_Extended,ID
_gu_bak,
MRUCUSTOMLISTS,"USRID,QPID"
DOCDATA_with_patient_id,
ReportControlProperty,ReportControlPropertyId
CVX,Code
cus_APP_BatchItemApplied_SV,ID
PreUpgrade_SecurityNodes,
Cus_EZP_CardDetail,
Cus_EZP_AutoShareDoc_Settings,
ErxAdminMap,
Cus_EZP_PaymentSettings,SettingsId
CDS_Parameters,ID_Offset_Value
FMYCOVRSRCSUMDETAIL,"COVLISTID,COVID,PAYERID,NETWORK,URLTYPE"
Cus_EZP_CollectionLettersHistory,LetterId
_gu,
Cus_EZP_PortalOverrideSettings,SettingsId
ReportCriteria,ReportCriteriaId
SPR68501_MUP_Codes_Inactvtd,
cusCqrDataFix_ZUF,
Cus_EZP_PendingEmails,EmailId
DOCVIEWS_TRACKER,"DOCVIEWID,DTID"
ERXRESPONSE,AsycResponseId
cus_RVUC_History,
Cus_EZP_CollectionQueue,CollectionQueueId
cus_FlwUp_Notes,ID
ReportNodes,ReportNodesId
cus_APP_BatchItems_SV,ID
PreUpgrade_Report,
Cus_EZP_ExtInsCarriers,ExtInsCarriersId
Cus_EZP_BookingLog,BookingLogId
_inscarriers,
Subscription,
Cus_EZP_PendingEmails_Attachments,AttachmentId
STG_COPHEADER,STAGINGID
cus_RVUC_Procedures,
Cus_EZP_CRHistory,
ReportParameter,ReportParameterId
PreUpgrade_ReportNodes,
Cus_EZP_ExtInsCarriersMap,Cus_EZP_ExtInsCarriersMapId
Cus_EZP_BulletinBoard,
_pp,
STG_COPSUMMARYDETAIL,
_sipebadguarantors,
cus_RVUC_RVUSchedule,
Cus_EZP_CSHistory,
cus_FlwUp_ReAssign_Manual_History,ID
ReportSecurity,ReportSecurityId
LOINC,LOINC_NUM
PreUpgrade_ComponentSensitiveReport,
Cus_EZP_ExtInsTransactionTypes,ExtInsTransactionTypeId
_pp2,
BARRIER,BARRIERID
Cus_EZP_Phone_ApptRem_MessageSettings,MessageId
stateControlledSubstances,
STG_COVAGEDETAIL,
Cus_EZP_CustomText,
ReportSelect,ReportSelectId
PreUpgrade_ReportControl,
Cus_EZP_PatAgreements_Questions,
ActivityLog,ActivityLogId
BARRIER_GOAL,"BARRIERID,GOALGROUPID"
Cus_EZP_Phone_Settings,SegId
STG_COVERAGEDETAIL,
Cus_EZP_CVSHistory,
MS_TCRF,"TC_TYPE,TC_CODE"
ResourceTypeAssignments,
Map_LoincNum_HDIDs,
PreUpgrade_ReportControlProperty,
Cus_EZP_PatCheckins,PatCheckinId
AllocationSet,AllocationSetId
EPCS_USER_DEA,DEA_ID
AADConfiguration,ConfigId
Cus_EZP_PhoneApptRemindersTemplates,MessageId
STG_COVERAGEHEADER,STAGINGID
Cus_EZP_DirectAddressBook,
OBS,"PID,XID,OBSID"
cus_Scheduler_1_Search_RuleList,
