TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID,PRIORITY
Appointments_bak,AppointmentsId,no,,,,,1
Appointments_bak,FacilityId,no,,,,,1
Appointments_bak,ApptKind,no,,,,,1
Appointments_bak,OwnerId,no,,,,,1
Appointments_bak,ApptStart,yes,STATIC_OFFSET,,,,1
Appointments_bak,ApptStop,yes,STATIC_OFFSET,,,,1
Appointments_bak,EmrApptStart,yes,STATIC_OFFSET,,,,1
Appointments_bak,Duration,no,,,,,1
Appointments_bak,Status,no,,,,,1
Appointments_bak,Canceled,no,,,,,1
Appointments_bak,PatientCheckIn,no,,,,,1
Appointments_bak,PriorAuthorizationNumber,no,,,,,1
Appointments_bak,WCCId,no,,,,,1
Appointments_bak,Notes,no,,,,,1
Appointments_bak,ApptStatusMId,no,,,,,1
Appointments_bak,DoctorId,no,,,,,1
Appointments_bak,ResourceId,no,,,,,1
Appointments_bak,Type,no,,,,,1
Appointments_bak,PatientVisitId,no,,,,,1
Appointments_bak,TicketNumber,no,,,,,1
Appointments_bak,HideNewVisit,no,,,,,1
Appointments_bak,ApptTypeId,no,,,,,1
Appointments_bak,ApptSetId,no,,,,,1
Appointments_bak,ApptChainId,no,,,,,1
Appointments_bak,RoomNo,no,,,,,1
Appointments_bak,CasesId,no,,,,,1
Appointments_bak,CompanyId,no,,,,,1
Appointments_bak,ExternalApptId,no,,,,,1
Appointments_bak,DocCreate,no,,,,,1
Appointments_bak,DocId,no,,,,,1
Appointments_bak,ExternalVisitId,no,,,,,1
Appointments_bak,ReferralSourceMId,no,,,,,1
Appointments_bak,ReferralPatientId,no,,,,,1
Appointments_bak,Created,yes,MASK,Created,,,1
Appointments_bak,CreatedBy,no,,,,,1
Appointments_bak,LastModified,yes,MASK,LastModified,,,1
Appointments_bak,LastModifiedBy,no,,,,,1
Appointments_bak,CompletedByChargeImport,no,,,,,1
Appointments_bak,ServiceLocation,no,,,,,1
Appointments_bak,nd_auto_increment_id,no,,,,,1
DmApptIdMapping,APPTID,no,,,,,1
DmApptIdMapping,MappedID,no,,,,,1
DmApptIdMapping,BookID,no,,,,,1
DmApptIdMapping,BookName,yes,MASK,BookName,,,1
DmApptIdMapping,nd_auto_increament_id,no,,,,,1
guarantor_bak,GuarantorId,yes,MASK,GuarantorId,,,1
guarantor_bak,PatientProfileId,no,,,,,1
guarantor_bak,Prefix,no,,,,,1
guarantor_bak,First,yes,MASK,First,,,1
guarantor_bak,Middle,yes,MASK,Middle,,,1
guarantor_bak,Last,yes,MASK,Last,,,1
guarantor_bak,Suffix,no,,,,,1
guarantor_bak,Address1,yes,MASK,Address1,,,1
guarantor_bak,Address2,yes,MASK,Address2,,,1
guarantor_bak,City,no,,,,,1
guarantor_bak,State,no,,,,,1
guarantor_bak,Zip,no,,,,,1
guarantor_bak,County,no,,,,,1
guarantor_bak,Country,no,,,,,1
guarantor_bak,AlternateAddress1,no,,,,,1
guarantor_bak,AlternateAddress2,no,,,,,1
guarantor_bak,AlternateCity,no,,,,,1
guarantor_bak,AlternateState,no,,,,,1
guarantor_bak,AlternateZip,no,,,,,1
guarantor_bak,AlternateCounty,no,,,,,1
guarantor_bak,AlternateCountry,no,,,,,1
guarantor_bak,ContactByMId,no,,,,,1
guarantor_bak,Phone1,yes,MASK,Phone1,,,1
guarantor_bak,Phone1Type,yes,MASK,Phone1Type,,,1
guarantor_bak,Phone2,yes,MASK,Phone2,,,1
guarantor_bak,Phone2Type,no,,,,,1
guarantor_bak,Phone3,yes,MASK,Phone3,,,1
guarantor_bak,Phone3Type,no,,,,,1
guarantor_bak,EMailAddress,yes,MASK,EMailAddress,,,1
guarantor_bak,EmployerId,no,,,,,1
guarantor_bak,EmpStatusMId,no,,,,,1
guarantor_bak,EmpStatusDate,no,,,,,1
guarantor_bak,EmpOccup,no,,,,,1
guarantor_bak,SSN,yes,MASK,SSN,,,1
guarantor_bak,Birthdate,yes,DOB,,,,1
guarantor_bak,Sex,no,,,,,1
guarantor_bak,BillCodeMId,no,,,,,1
guarantor_bak,Budget,no,,,,,1
guarantor_bak,LastStatement,yes,STATIC_OFFSET,,,,1
guarantor_bak,StatementNotes,yes,GENERIC_NOTES,,,,1
guarantor_bak,StatementNotesPrintStatus,no,,,,,1
guarantor_bak,FirstVisit,yes,STATIC_OFFSET,,,,1
guarantor_bak,Created,yes,STATIC_OFFSET,,,,1
guarantor_bak,CreatedBy,yes,MASK,CreatedBy,,,1
guarantor_bak,LastModified,yes,STATIC_OFFSET,,,,1
guarantor_bak,LastModifiedBy,yes,MASK,LastModifiedBy,,,1
guarantor_bak,CountrySubdiv,no,,,,,1
guarantor_bak,AlternateCountrySubdiv,no,,,,,1
guarantor_bak,nd_auto_increament_id,no,,,,,1
geMergeProviderIssue,DoctorFacilityId,no,,,,,1
geMergeProviderIssue,PVId,no,,,,,1
geMergeProviderIssue,Type,no,,,,,1
geMergeProviderIssue,Inactive,no,,,,,1
geMergeProviderIssue,LoginUser,no,,,,,1
geMergeProviderIssue,Prefix,no,,,,,1
geMergeProviderIssue,First,yes,MASK,First,,,1
geMergeProviderIssue,Middle,yes,MASK,Middle,,,1
geMergeProviderIssue,Last,yes,MASK,Last,,,1
geMergeProviderIssue,Suffix,no,,,,,1
geMergeProviderIssue,OrgName,no,,,,,1
geMergeProviderIssue,OrgType,no,,,,,1
geMergeProviderIssue,ListName,yes,MASK,ListName,,,1
geMergeProviderIssue,Address1,no,,,,,1
geMergeProviderIssue,Address2,no,,,,,1
geMergeProviderIssue,City,no,,,,,1
geMergeProviderIssue,State,no,,,,,1
geMergeProviderIssue,Zip,no,,,,,1
geMergeProviderIssue,Country,no,,,,,1
geMergeProviderIssue,Phone1,yes,MASK,Phone1,,,1
geMergeProviderIssue,Phone1Type,yes,MASK,Phone1Type,,,1
geMergeProviderIssue,Phone2,no,,,,,1
geMergeProviderIssue,Phone2Type,yes,MASK,Phone2Type,,,1
geMergeProviderIssue,PlaceOfServiceMId,no,,,,,1
geMergeProviderIssue,UPIN,yes,MASK,UPIN,,,1
geMergeProviderIssue,FederalTaxId,no,,,,,1
geMergeProviderIssue,FederalTaxIdType,no,,,,,1
geMergeProviderIssue,StateLicenseNo,no,,,,,1
geMergeProviderIssue,SpecialtyMId,no,,,,,1
geMergeProviderIssue,TypeOfBill,no,,,,,1
geMergeProviderIssue,SpecialtyLicenseNo,no,,,,,1
geMergeProviderIssue,AdditionalLicenseNo,no,,,,,1
geMergeProviderIssue,AnesthesiaLicenseNo,no,,,,,1
geMergeProviderIssue,GroupId,no,,,,,1
geMergeProviderIssue,FileFacilityFees,no,,,,,1
geMergeProviderIssue,Ledger,no,,,,,1
geMergeProviderIssue,TicketNumberPrefix,no,,,,,1
geMergeProviderIssue,TaxRate,no,,,,,1
geMergeProviderIssue,FacilityId,no,,,,,1
geMergeProviderIssue,Notes,no,,,,,1
geMergeProviderIssue,Color,no,,,,,1
geMergeProviderIssue,DotId,no,,,,,1
geMergeProviderIssue,GalacticId,no,,,,,1
geMergeProviderIssue,LocationId,no,,,,,1
geMergeProviderIssue,MemberId,no,,,,,1
geMergeProviderIssue,ShowInPM,no,,,,,1
geMergeProviderIssue,PrescriberId,no,,,,,1
geMergeProviderIssue,DEA,no,,,,,1
geMergeProviderIssue,JobTitleGID,no,,,,,1
geMergeProviderIssue,NPI,no,,,,,1
geMergeProviderIssue,IsEmrUser,no,,,,,1
geMergeProviderIssue,Created,yes,STATIC_OFFSET,,,,1
